name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Lewis Cliff 97220,14633,Valid,Stony,Ordinary,H5,5.8,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97221,14634,Valid,Stony,Ordinary,L3,48,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97222,14635,Valid,Stony,Ordinary,H6,28.9,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97223,14636,Valid,Stony,Ordinary,H6,22.7,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97224,14637,Valid,Stony,Ordinary,H5,4.8,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97225,14638,Valid,Stony,Primitive Achondrites,Ureilite,2.1,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97226,14639,Valid,Stony,Ordinary,H5,5.7,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97227,14640,Valid,Stony,Ordinary,H5,8.8,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 88021,13775,Valid,Stony,Ordinary,H4,731,Found,1988-01-01,-84.26679,161.33674,"(-84.266790, 161.336740)"
Lewis Cliff 88320,14071,Valid,Stony,Ordinary,H5,105.2,Found,1988-01-01,-84.26684,161.3574,"(-84.266840, 161.357400)"
Lewis Cliff 86491,13421,Valid,Stony,Ordinary,H5,15,Found,1986-01-01,-84.26703,161.41027,"(-84.267030, 161.410270)"
Lewis Cliff 88659,14396,Valid,Stony,Ordinary,L6,10.8,Found,1988-01-01,-84.26703,161.41912,"(-84.267030, 161.419120)"
Lewis Cliff 85437,12905,Valid,Stony,Ordinary,L3.4,9.4,Found,1985-01-01,-84.26708,161.3688,"(-84.267080, 161.368800)"
Lewis Cliff 85330,12800,Valid,Stony,Ordinary,H6,67,Found,1985-01-01,-84.26709,161.36497,"(-84.267090, 161.364970)"
Lewis Cliff 86513,13441,Valid,Stony,Ordinary,H5,6.1,Found,1986-01-01,-84.26714,161.39023,"(-84.267140, 161.390230)"
Lewis Cliff 85302,12775,Valid,Stony,Achondrites,Eucrite-pmict,114.5,Found,1985-01-01,-84.26719,161.36527,"(-84.267190, 161.365270)"
Lewis Cliff 85392,12861,Valid,Stony,Ordinary,H6,27.9,Found,1985-01-01,-84.26719,161.40263,"(-84.267190, 161.402630)"
Lewis Cliff 88634,14371,Valid,Stony,Ordinary,L3.4,7.7,Found,1988-01-01,-84.26728,161.4481,"(-84.267280, 161.448100)"
Lewis Cliff 86493,13423,Valid,Stony,Ordinary,H6,4.6,Found,1986-01-01,-84.26731,161.42471,"(-84.267310, 161.424710)"
Lewis Cliff 86495,13425,Valid,Stony,Ordinary,L3.5,2.5,Found,1986-01-01,-84.26733,161.42405,"(-84.267330, 161.424050)"
Lewis Cliff 88614,14352,Valid,Stony,Ordinary,L6,8.9,Found,1988-01-01,-84.26735,161.36541,"(-84.267350, 161.365410)"
Lewis Cliff 85362,12832,Valid,Stony,Ordinary,H6,14.5,Found,1985-01-01,-84.26741,161.35943,"(-84.267410, 161.359430)"
Lewis Cliff 88620,14358,Valid,Stony,Ordinary,H5,8.6,Found,1988-01-01,-84.2675,161.35395,"(-84.267500, 161.353950)"
Lewis Cliff 86533,13461,Valid,Stony,Ordinary,H5,15.7,Found,1986-01-01,-84.26756,161.3631,"(-84.267560, 161.363100)"
Lewis Cliff 93881,14603,Valid,Stony,Ordinary,H5,11.3,Found,1993-01-01,-84.26777,161.41272,"(-84.267770, 161.412720)"
Lewis Cliff 88128,13881,Valid,Stony,Ordinary,H6,3.4,Found,1988-01-01,-84.26779,161.40828,"(-84.267790, 161.408280)"
Lewis Cliff 93883,14605,Valid,Stony,Ordinary,H6,3.7,Found,1993-01-01,-84.26789,161.40298,"(-84.267890, 161.402980)"
Lewis Cliff 86202,13140,Valid,Stony,Ordinary,H6,12.2,Found,1986-01-01,-84.2679,161.37118,"(-84.267900, 161.371180)"
Lewis Cliff 85401,12870,Valid,Stony,Ordinary,L3.3,3.9,Found,1985-01-01,-84.26791,161.43561,"(-84.267910, 161.435610)"
Lewis Cliff 85438,12906,Valid,Stony,Ordinary,LL6,3.2,Found,1985-01-01,-84.26802,161.41925,"(-84.268020, 161.419250)"
Lewis Cliff 85378,12847,Valid,Stony,Ordinary,H6,65.6,Found,1985-01-01,-84.26807,161.39849,"(-84.268070, 161.398490)"
Lewis Cliff 88344,14095,Valid,Stony,Ordinary,L6,26.6,Found,1988-01-01,-84.26814,161.34362,"(-84.268140, 161.343620)"
Lewis Cliff 88623,14361,Valid,Stony,Ordinary,H5,13.6,Found,1988-01-01,-84.26835,161.37585,"(-84.268350, 161.375850)"
Lewis Cliff 85425,12893,Valid,Stony,Ordinary,L6,3,Found,1985-01-01,-84.26836,161.31266,"(-84.268360, 161.312660)"
Lewis Cliff 86232,13166,Valid,Stony,Ordinary,H5,19.4,Found,1986-01-01,-84.26836,161.37121,"(-84.268360, 161.371210)"
Lewis Cliff 88609,14347,Valid,Stony,Ordinary,H5,7,Found,1988-01-01,-84.26849,161.42488,"(-84.268490, 161.424880)"
Lewis Cliff 88615,14353,Valid,Stony,Ordinary,L5,12.1,Found,1988-01-01,-84.26851,161.37063,"(-84.268510, 161.370630)"
Lewis Cliff 86524,13452,Valid,Stony,Ordinary,L5,23.4,Found,1986-01-01,-84.26857,161.34523,"(-84.268570, 161.345230)"
Lewis Cliff 85402,12871,Valid,Stony,Ordinary,H6,65.9,Found,1985-01-01,-84.2687,161.39834,"(-84.268700, 161.398340)"
Lewis Cliff 88604,14342,Valid,Stony,Ordinary,L6,4.7,Found,1988-01-01,-84.26873,161.40963,"(-84.268730, 161.409630)"
Lewis Cliff 86195,13133,Valid,Stony,Ordinary,L6,41.5,Found,1986-01-01,-84.2688,161.36236,"(-84.268800, 161.362360)"
Lewis Cliff 93880,14602,Valid,Stony,Ordinary,L6,1.4,Found,1993-01-01,-84.26899,161.39551,"(-84.268990, 161.395510)"
Lewis Cliff 88607,14345,Valid,Stony,Ordinary,H6,7,Found,1988-01-01,-84.26905,161.42376,"(-84.269050, 161.423760)"
Lewis Cliff 86002,12942,Valid,Stony,Achondrites,Eucrite-br,32.6,Found,1986-01-01,-84.26906,161.36266,"(-84.269060, 161.362660)"
Lewis Cliff 88300,14051,Valid,Stony,Ordinary,H5,86.1,Found,1988-01-01,-84.26908,161.36101,"(-84.269080, 161.361010)"
Lewis Cliff 88346,14097,Valid,Stony,Ordinary,L6,18.2,Found,1988-01-01,-84.26909,161.3713,"(-84.269090, 161.371300)"
Lewis Cliff 88603,14341,Valid,Stony,Ordinary,H4,6.2,Found,1988-01-01,-84.26912,161.3885,"(-84.269120, 161.388500)"
Lewis Cliff 85417,12886,Valid,Stony,Ordinary,L5,9.3,Found,1985-01-01,-84.26913,161.41737,"(-84.269130, 161.417370)"
Lewis Cliff 88351,14101,Valid,Stony,Ordinary,L6,21.3,Found,1988-01-01,-84.26916,161.38569,"(-84.269160, 161.385690)"
Lewis Cliff 85399,12868,Valid,Stony,Ordinary,H6,8.2,Found,1985-01-01,-84.26917,161.39696,"(-84.269170, 161.396960)"
Lewis Cliff 85334,12804,Valid,Stony,Ordinary,H5,177,Found,1985-01-01,-84.26932,161.38759,"(-84.269320, 161.387590)"
Lewis Cliff 85415,12884,Valid,Stony,Ordinary,LL6,3.4,Found,1985-01-01,-84.26936,161.4195,"(-84.269360, 161.419500)"
Lewis Cliff 86446,13376,Valid,Stony,Ordinary,H4,9.8,Found,1986-01-01,-84.26936,161.42773,"(-84.269360, 161.427730)"
Lewis Cliff 88610,14348,Valid,Stony,Ordinary,H5,1.5,Found,1988-01-01,-84.26939,161.3959,"(-84.269390, 161.395900)"
Lewis Cliff 86449,13379,Valid,Stony,Ordinary,LL5,4.3,Found,1986-01-01,-84.2694,161.41639,"(-84.269400, 161.416390)"
Lewis Cliff 86375,13306,Valid,Stony,Ordinary,H5,10.5,Found,1986-01-01,-84.26943,161.41031,"(-84.269430, 161.410310)"
Lewis Cliff 88308,14059,Valid,Stony,Ordinary,L5,20,Found,1988-01-01,-84.26947,161.40292,"(-84.269470, 161.402920)"
Lewis Cliff 88618,14356,Valid,Stony,Ordinary,H6,13,Found,1988-01-01,-84.2695,161.37171,"(-84.269500, 161.371710)"
